,Algo,Sim_Method,RMSE,MIN_K,MAX_K,Total RMSE Points,Total Tested Points
0,SlopeOne,pearson,0.325671776,0,0,31145,31145
1,KNN_Means,pearson,0.194948214,1,1,30520,31145
2,KNN_Means,pearson,0.171159841,2,2,29940,31145
3,KNN_Means,pearson,0.162492002,3,3,29355,31145
4,KNN_Means,pearson,0.159653133,4,4,28716,31145
5,KNN_Means,pearson,0.159407476,5,5,28125,31145
6,KNN_Means,pearson,0.160710884,6,6,27448,31145
7,KNN_Means,pearson,0.16316212,7,7,26727,31145
8,KNN_Means,pearson,0.167448508,8,8,25988,31145
9,SVD,pearson,0.215428059,0,0,31145,31145